date,open,high,low,close,volume
20180102,39.7762,40.2765,39.5659,40.2671,25555934
20180103,40.3303,40.8024,40.197,40.2601,29517899
20180104,40.3326,40.55,40.2251,40.4471,22434597
20180105,40.543,40.9941,40.4518,40.9076,23660018
20180108,40.7557,41.0502,40.6575,40.7557,20567766
20180109,40.8024,40.9217,40.536,40.751,21583997
20180110,40.4775,40.744,40.4401,40.7417,23959895
20180111,40.8118,41.0218,40.7884,40.9731,18667729
20180112,41.1835,41.4593,41.0596,41.3962,25418080
20180116,41.5855,41.9338,41.1741,41.1858,29565947
20180117,41.1765,41.9011,40.924,41.866,34386836
20180118,41.9292,42.0998,41.6673,41.9034,31193352
20180119,41.7515,41.9782,41.471,41.7164,32425067
20180122,41.4453,41.5575,41.282,41.3752,27108551
20180123,41.4453,41.9455,41.3331,41.3845,32689146
20180124,41.4336,41.4453,40.4869,40.7253,51105090
20180125,40.7919,40.8959,39.8627,39.9983,41529004
20180126,40.2064,40.2064,39.7529,40.0918,39143011
20180129,39.7762,39.7762,39.0539,39.262,50640406
20180130,38.6928,39.1241,38.4999,39.0306,46048185
20180131,39.0072,39.3746,38.9207,39.1381,32478930
20180201,39.0761,39.4163,38.9815,39.2199,47230787
20180202,38.8038,38.9908,37.4246,37.5181,86593825
20180205,37.1909,38.3082,36.4662,36.5808,72738522
20180206,36.1927,38.2708,35.9987,38.1096,68243838
20180207,38.1224,38.196,37.1835,37.2937,51608580
20180208,37.4691,37.635,36.2395,36.2675,54390516
20180209,36.8661,37.0585,35.263,36.7112,70672608
20180212,37.2017,38.4668,36.9693,38.1898,60819539
20180213,38.0115,38.6686,37.941,38.5724,32549163
20180214,38.2685,39.3235,38.2297,39.2836,40644933
20180215,39.8516,40.6261,39.6662,40.6027,51147171
20180216,40.4548,41.0322,40.3163,40.4712,40176091
20180220,40.382,40.9008,40.2342,40.3351,33930540
20180221,40.5651,40.8679,40.1379,40.152,37471623
20180222,40.3234,40.828,40.3022,40.4877,30991940
20180223,40.7623,41.227,40.7318,41.1918,33812360
20180226,41.3913,42.1048,41.3584,42.0062,38162174
20180227,42.0368,42.3607,41.8161,41.8701,38928125
20180228,42.0743,42.3923,41.7903,41.8067,37782138
20180301,41.9053,42.1952,40.5252,41.0744,48801970
20180302,40.5581,41.3796,40.4759,41.3584,38453950
20180305,41.1237,41.7175,40.9618,41.5016,28401366
20180306,41.7574,41.8372,41.3397,41.4664,23788506
20180307,41.0604,41.2739,40.9031,41.0815,31703462
20180308,41.1871,41.572,41.0909,41.5298,23774107
20180309,41.7692,42.248,41.6354,42.2433,32185162
20180312,42.3161,42.809,42.2973,42.6517,32207081
20180313,42.8559,43.0695,42.0696,42.241,31693529
20180314,42.3231,42.37,41.734,41.8818,29368356
20180315,41.8959,42.3043,41.795,41.9311,22743798
20180316,41.9311,42.0414,41.6894,41.7833,39404688
20180319,41.619,41.6542,40.7599,41.1449,33446771
20180320,41.1308,41.4969,41.0604,41.1308,19649350
20180321,41.0838,41.0956,40.1966,40.199,37054935
20180322,39.9009,40.5299,39.5723,39.631,41490767
20180323,39.523,39.8821,38.7132,38.7132,41028784
20180326,39.4479,40.6285,39.0653,40.551,37541236
20180327,40.7646,41.1096,39.178,39.5113,40922579
20180328,39.2554,39.9056,38.7719,39.0747,41668545
20180329,39.3857,40.3116,39.1733,39.3798,38398505
20180402,39.4033,39.6521,38.6029,39.1216,37586791
20180403,39.347,39.6064,38.6992,39.523,30278046
20180404,38.6992,40.3727,38.6733,40.2788,34605489
20180405,40.5064,40.8938,40.3891,40.5581,26933197
20180406,40.1286,40.483,39.4784,39.5207,35005290
20180409,39.8727,40.6261,39.8645,39.9126,29017718
20180410,40.605,40.8397,40.26,40.6637,28614241
20180411,40.4243,40.8217,40.2999,40.4736,22431640
20180412,40.7012,41.0744,40.6144,40.8726,22889285
20180413,41.0228,41.2716,40.8045,41.0111,25124255
20180416,41.0815,41.3537,41.0346,41.2669,21578420
20180417,41.4242,41.9984,41.4054,41.8349,26605442
20180418,41.734,41.971,41.5157,41.741,20754538
20180419,41.0627,41.166,40.5252,40.5581,34808800
20180420,40.0405,40.1869,38.8283,38.8963,65491140
20180423,39.158,39.178,38.5137,38.7837,36515477
20180424,38.8846,39.0395,37.8401,38.2438,33692017
20180425,38.1687,38.8259,38.1194,38.4105,28382084
20180426,38.5208,38.8987,38.3447,38.5443,27963014
20180427,38.4926,38.5701,37.7016,38.0983,35655839
20180430,38.0538,39.2578,37.9856,38.7884,42427424
20180501,39.0583,39.7131,38.7907,39.6896,53569376
20180502,41.1272,41.7199,40.7928,41.4429,66539371
20180503,41.281,41.6612,40.9433,41.518,34068180
20180504,41.8372,43.2455,41.8185,43.1469,56201317
20180507,43.4638,44.0482,43.3629,43.4591,42451423
20180508,43.4192,43.7079,43.1082,43.668,28402777
20180509,43.7854,43.9849,43.4732,43.9755,23211241
20180510,44.0647,44.6819,44.0435,44.6045,27989289
20180511,44.6469,44.7812,44.1662,44.4348,26212221
20180514,44.5338,44.6563,44.2628,44.3312,20778772
20180515,44.0084,44.0767,43.6125,43.9283,23695159
20180516,43.8411,44.4042,43.8246,44.3382,19183064
20180517,44.2958,44.5102,43.9094,44.0579,17294029
20180518,44.105,44.2511,43.8552,43.8976,18297728
20180521,44.2958,44.5951,44.0391,44.2086,18400787
20180522,44.3842,44.5032,44.0084,44.0979,15240704
20180523,43.9071,44.4136,43.768,44.3806,20058415
20180524,44.4772,44.4937,43.8741,44.3312,23233975
20180525,44.35,44.6846,44.2134,44.4325,17460963
20180529,44.2016,44.4725,44.0296,44.2723,22514075
20180530,44.2298,44.2958,44.0084,44.178,18690547
20180531,44.112,44.35,43.8576,44.0296,27482793
20180601,44.2937,44.8283,44.2369,44.8236,23442510
20180604,45.1523,45.5729,45.0851,45.1982,26266174
20180605,45.4892,45.6954,45.3231,45.5469,21565963
20180606,45.6223,45.7284,45.2194,45.7048,20933619
20180607,45.7425,45.7566,45.3172,45.5823,21347180
20180608,45.0427,45.2383,44.7129,45.1676,26656799
20180611,45.0851,45.2312,44.8165,45.0569,18308460
20180612,45.0934,45.3822,45.038,45.3043,16911141
20180613,45.3372,45.4456,44.8707,44.932,21638393
20180614,45.1323,45.137,44.8189,44.9555,21610074
20180615,44.7741,44.8048,44.3571,44.4937,61719160
20180618,44.2675,44.5833,44.1073,44.4702,18484865
20180619,43.622,43.9023,43.2238,43.7515,33578455
20180620,43.9071,44.1073,43.761,43.9424,20628701
20180621,44.1191,44.3783,43.5748,43.6974,25711898
20180622,43.8529,43.8599,43.5183,43.5701,27200447
20180625,43.212,43.5701,42.5829,42.9222,31663096
20180626,43.1154,43.9495,43.0094,43.4547,24569201
20180627,43.6426,44.1262,43.3604,43.3911,25285328
20180628,43.3769,43.8741,43.3062,43.7068,17365235
20180629,43.8929,44.105,43.0965,43.6149,22737666
20180702,43.3109,44.1309,43.2167,44.1026,17731343
20180703,44.2463,44.284,43.245,43.3345,13954806
20180705,43.6502,43.9212,43.4193,43.6832,16604248
20180706,43.6879,44.3981,43.6361,44.2888,17485245
20180709,44.6492,44.9273,44.6021,44.9037,19756634
20180710,44.9343,45.0686,44.8095,44.8495,15939149
20180711,44.4136,44.7152,44.2039,44.2675,18831470
20180712,44.6563,45.0993,44.6045,45.0097,18041131
20180713,45.0215,45.2006,44.9791,45.0804,12519792
20180716,45.1252,45.3914,44.8648,44.9815,15043110
20180717,44.7082,45.2077,44.5786,45.1087,15534523
20180718,45.1865,45.1912,44.7506,44.8613,16393381
20180719,44.694,45.3679,44.694,45.21,20286752
20180720,45.1865,45.3396,44.8071,45.1063,20706042
20180723,44.9273,45.2289,44.6634,45.1464,15989365
20180724,45.3443,45.6294,45.2501,45.4739,18697898
20180725,45.4881,45.9098,45.3396,45.9027,16826483
20180726,45.8532,46.1713,45.6176,45.759,19075964
20180727,45.9428,45.9899,44.7906,44.998,24023972
20180730,45.2147,45.2854,44.5479,44.7458,21029535
20180731,44.8377,45.2713,44.6115,44.8354,39373038
20180801,46.9182,47.5379,46.4894,47.4766,67935716
20180802,47.2599,49.0977,47.2057,48.8644,62404012
20180803,48.7796,49.1825,48.4145,49.0058,33447396
20180806,49.0081,49.3027,48.789,49.2603,25425387
20180807,49.3192,49.3616,48.716,48.7984,25587387
20180808,48.5487,48.9634,48.1882,48.8314,22525487
20180809,48.8385,49.4275,48.8197,49.2155,23492626
20180810,49.0287,49.4401,48.8656,49.0689,24611202
20180813,49.1091,49.878,49.1091,49.3857,25890880
20180814,49.6896,49.7853,49.2415,49.5938,20748010
20180815,49.4685,49.8279,49.2581,49.7097,28807564
20180816,50.0667,50.5543,50.0005,50.4379,28500367
20180817,50.4663,51.5326,50.4001,51.4451,35426997
20180820,51.5681,51.8235,50.8611,50.9439,30287695
20180821,51.2607,51.3529,50.6046,50.8446,26159755
20180822,50.6223,51.1567,50.5609,50.8469,19018131
20180823,50.7524,51.3198,50.7405,50.951,18883224
20180824,51.2134,51.2844,50.8611,51.1094,18476356
20180827,51.3435,51.7194,51.1496,51.5303,20525117
20180828,51.7833,52.145,51.762,51.9464,22776766
20180829,52.0528,52.8425,51.8778,52.7219,27254804
20180830,52.7858,53.9704,52.5848,53.2066,48793824
20180831,53.5566,54.1146,53.436,53.8214,43340134
20180904,54.0058,54.1879,53.585,53.994,27390132
20180905,54.143,54.3037,53.2232,53.6417,33332960
20180906,53.4904,53.7552,52.3247,52.7503,34289976
20180907,52.4548,53.287,52.1852,52.3247,37619810
20180910,52.242,52.4548,51.1827,51.6225,39516453
20180911,51.5468,53.0338,51.204,52.9276,35749049
20180912,53.1854,53.1995,51.9795,52.2703,49278740
20180913,52.8496,53.9916,52.625,53.5329,41706377
20180914,53.3769,53.6346,52.6136,52.9253,31999289
20180917,52.5257,52.7148,51.3718,51.5161,37195133
20180918,51.4948,52.4548,51.3364,51.6012,31571712
20180919,51.6627,51.9275,50.9061,51.6319,27123833
20180920,52.0741,52.5564,51.8164,52.0244,26608794
20180921,52.2018,52.3389,51.3766,51.4641,96246748
20180924,51.2655,52.3153,51.2205,52.2041,27693358
20180925,51.9582,52.6841,51.9464,52.5351,24554379
20180926,52.2538,52.904,51.9606,52.1166,23984706
20180927,52.9205,53.54,52.8543,53.1877,30181227
20180928,53.1499,53.3982,52.9678,53.3745,22929364
20181001,53.8971,54.2446,53.5187,53.7339,23600802
20181002,53.7315,54.3818,53.585,54.2115,24788170
20181003,54.3936,55.2022,54.3297,54.8712,28654799
20181004,54.5662,54.9374,53.6086,53.9065,32042000
20181005,53.8994,54.0058,52.1545,53.0317,33580463
20181008,52.5399,53.1523,52.0646,52.9087,29663923
20181009,52.878,53.7363,52.5484,53.6417,26891029
20181010,53.3083,53.5187,51.0834,51.1567,41990554
20181011,50.7216,51.8991,50.2015,50.7051,53124392
20181012,52.1166,52.6983,51.2702,52.5162,40337851
20181015,52.2916,52.45,51.3718,51.3931,30791007
20181016,51.7643,52.7243,51.2519,52.5257,29183963
20181017,52.5612,52.6415,51.8613,52.2987,22885397
20181018,51.5114,51.9559,50.3622,51.0763,32581315
20181019,51.5586,52.3153,51.4097,51.8542,33078726
20181022,51.9677,52.8118,51.7667,52.171,28792082
20181023,51.0314,52.7858,50.7642,52.6628,38767846
20181024,52.6321,53.0175,50.7264,50.8564,40925163
20181025,51.4759,52.3436,51.2489,51.97,29855768
20181026,51.0479,52.0623,50.2842,51.1425,47258375
20181029,51.8258,51.944,48.7284,50.1825,45935520
20181030,49.9248,50.8777,49.4803,50.4332,36659990
20181031,51.2796,52.1237,51.2182,51.7478,38358933
20181101,51.7927,52.5753,51.2631,52.5422,58323180
20181102,49.5465,50.5159,48.5724,49.0571,91328654
20181105,48.3052,48.3265,46.8558,47.6644,66163669
20181106,47.7425,48.4045,47.6881,48.1799,31882881
20181107,48.7001,49.6671,48.265,49.6411,33424434
20181108,49.8214,49.8546,49.055,49.4679,25362636
20181109,48.7703,48.8795,47.9873,48.5141,34365750
20181112,47.2162,47.4179,45.9801,46.0702,51135518
20181113,45.4676,46.7844,45.4249,45.6099,46882936
20181114,46.0062,46.1438,44.1151,44.3216,60800957
20181115,44.6988,45.5482,44.3453,45.4154,46478801
20181116,45.1994,46.2599,44.9527,45.9184,36928253
20181119,45.0808,45.2469,43.8921,44.0985,41920872
20181120,42.3214,43.0569,41.6428,41.9916,67825247
20181121,42.6441,42.7722,41.8896,41.9441,31124210
20181123,41.5076,41.9002,40.8337,40.8788,23623972
20181126,41.3415,41.5099,40.3972,41.4316,44998520
20181127,40.6937,41.4672,40.5443,41.3415,41387377
20181128,41.9323,43.0142,41.5052,42.9312,46062539
20181129,43.3393,43.3725,42.1624,42.6014,41769992
20181130,42.7769,42.7864,42.0035,42.3712,39531549
20181203,43.7663,43.8802,42.9952,43.8518,40798002
20181204,42.9335,43.2752,41.8231,41.9228,41344282
20181206,40.7531,41.4696,40.4351,41.4554,43098410
20181207,41.1635,41.4008,39.9321,39.9772,42281631
20181210,39.1491,40.3568,38.7529,40.2406,62025994
20181211,40.7293,40.7602,39.6237,40.0104,47281665
