date,open,high,low,close,volume
20180102,58.6,59.5,58.5255,59.4505,2694494
20180103,59.415,60.2745,59.415,60.21,3108793
20180104,60.25,60.7935,60.233,60.4795,3022089
20180105,60.8755,61.457,60.5,61.457,3544743
20180108,61.8,62.654,61.6015,62.3435,4279475
20180109,62.845,62.9665,62.088,62.635,3661316
20180110,62.2575,62.7165,61.8615,62.7165,2686017
20180111,62.987,63.8385,62.823,63.834,3125048
20180112,63.6696,65.288,63.6696,65.26,5443730
20180116,66.15,66.997,64.615,65.243,7220701
20180117,65.612,65.7,64.044,64.75,5253754
20180118,64.6975,65.23,64.201,64.666,4026915
20180119,65.6,65.65,64.6495,64.729,4578536
20180122,64.8585,66.3725,64.8332,66.3655,4140061
20180123,66.9045,68.245,66.867,68.127,5169306
20180124,68.741,69.408,66.9,67.8755,6807457
20180125,68.4,68.917,67.881,68.8975,4753012
20180126,69.6005,70.1265,69.0455,70.1025,4857310
20180129,70.459,71.5695,70.022,70.884,5701898
20180130,70.1585,71.9625,69.6,71.891,5871942
20180131,72.565,73.629,72.502,72.5445,6424693
20180201,72.25,72.994,69.2571,69.5,9113808
20180202,73.8695,74.9,70.7,71.4975,11125722
20180205,70.131,72.949,66.036,69.5,11494985
20180206,68.073,72.1995,67.5895,72.142,11066819
20180207,72.45,73.0495,70.7575,70.839,7162741
20180208,71.4838,71.6876,67.497,67.525,8578557
20180209,68.6745,69.175,63.2965,66.98,14141524
20180212,68.2335,69.6905,67.2005,69.3115,6738944
20180213,69.2965,70.986,69.1765,70.7255,5917879
20180214,70.3125,72.603,70.168,72.5525,5959209
20180215,73.3445,73.447,71.8418,73.088,5652736
20180216,72.8685,73.29,72.328,72.4345,4472564
20180220,72.3245,74.4385,72.3245,73.4175,6499228
20180221,74.25,75.1745,73.946,74.146,6304351
20180222,74.768,75.127,73.788,74.267,4858063
20180223,74.767,75.0,74.325,75.0,4418103
20180226,75.46,76.142,75.35,76.0975,4954988
20180227,76.225,76.339,75.3605,75.599,4808776
20180228,75.9755,76.435,75.6,75.6225,4515023
20180301,75.68,75.9245,73.25,74.6725,6835230
20180302,73.455,75.0525,72.7505,75.0125,6587564
20180305,74.712,76.269,74.05,76.1805,5233934
20180306,76.66,77.1065,76.4,76.882,4561718
20180307,76.326,77.295,76.1255,77.25,4174123
20180308,77.5,77.744,77.2625,77.593,3862615
20180309,78.175,78.947,77.954,78.9445,4534250
20180312,79.63,80.2665,79.335,79.9195,5174211
20180313,80.798,80.877,78.9005,79.409,6531892
20180314,79.85,80.3222,79.5445,79.55,4259443
20180315,79.75,79.8455,78.9055,79.116,4069701
20180316,79.1725,79.472,78.375,78.584,5425012
20180319,77.7265,78.083,76.2675,77.2465,6580766
20180320,77.517,79.35,77.2705,79.3255,4581568
20180321,79.3225,79.5,78.1585,79.093,4750771
20180322,78.2735,78.6925,77.12,77.246,6320551
20180323,76.9505,77.451,74.768,74.778,8006033
20180326,76.5,77.8495,74.9625,77.793,5624700
20180327,78.62,78.7982,74.116,74.8525,6999631
20180328,72.35,72.795,69.3085,71.571,13705317
20180329,70.3,72.7735,68.26,72.367,12581121
20180402,70.881,71.0679,67.75,68.5995,10463607
20180403,69.569,70.7,67.7665,69.6025,10231212
20180404,67.912,70.7695,67.644,70.5285,6982305
20180405,72.0995,72.9779,71.3535,72.5875,6413459
20180406,71.4985,72.6251,70.013,70.2615,5882257
20180409,71.2515,71.924,70.1286,70.304,4208206
20180410,71.5995,71.919,70.785,71.811,4280144
20180411,71.972,72.4388,71.2445,71.3525,3582533
20180412,71.975,72.606,71.753,72.425,3135027
20180413,72.4568,72.989,71.226,71.5395,3685267
20180416,72.25,72.35,71.374,72.075,2808624
20180417,73.1148,75.3595,72.8511,75.1915,5114403
20180418,75.7325,76.69,75.2055,76.392,5227509
20180419,77.161,78.426,76.953,77.8455,6523728
20180420,78.06,78.06,75.8047,76.3745,5541622
20180423,77.3347,77.4,75.1705,75.893,4465424
20180424,76.79,76.975,72.4224,73.0045,7494699
20180425,72.9,73.4995,70.751,73.0085,6587290
20180426,74.2505,76.471,73.925,75.898,8801101
20180427,81.7005,81.905,78.3693,78.631,13053241
20180430,79.125,79.8,78.0471,78.3065,5464085
20180501,78.161,79.25,77.609,79.113,4572071
20180502,79.049,79.425,78.318,78.484,4360273
20180503,78.0005,78.74,77.301,78.6038,4251917
20180504,78.1225,79.245,78.1095,79.0475,3443567
20180507,79.4669,80.3475,79.3915,80.007,3801855
20180508,79.75,79.844,79.1255,79.6195,3067949
20180509,80.0,80.4,79.6,80.4,3637302
20180510,80.4238,80.78,80.172,80.454,2817450
20180511,80.5495,80.555,79.8946,80.1455,2263900
20180514,80.2,80.559,80.0025,80.077,2509483
20180515,79.3902,79.3902,78.261,78.806,5077465
