date,open,high,low,close,volume
20180102,52.1883,53.3262,52.1883,53.1889,1588268
20180103,53.2246,54.3233,53.1998,54.0963,1565945
20180104,54.3724,54.7187,54.2321,54.3065,1302569
20180105,54.6876,55.1896,54.6056,55.0266,1512526
20180108,55.0618,55.4662,55.0122,55.2209,1232221
20180109,55.4305,55.4305,54.9231,55.1505,1340381
20180110,54.8635,55.15,54.7141,55.0192,1036655
20180111,55.1267,55.2526,54.8378,55.1138,1121216
20180112,55.0172,56.068,54.9136,56.0356,1929306
20180116,56.5144,56.9391,55.8379,56.0381,1823100
20180117,56.3186,56.4653,55.6808,56.4544,1391510
20180118,56.4668,56.528,55.7291,56.2993,1374873
20180119,56.4014,56.6864,56.1273,56.6725,1527554
20180122,56.6884,57.8312,56.5892,57.6964,1477520
20180123,58.0166,58.4076,57.8496,58.2916,1956865
20180124,58.7283,58.8309,57.857,58.0498,1856429
20180125,58.5167,58.7293,58.077,58.5875,1499247
20180126,58.8547,58.8561,57.8882,58.8561,2108502
20180129,58.8779,59.3736,58.6827,58.8026,1574708
20180130,58.3685,58.8745,58.2094,58.3511,1866883
20180131,58.6703,58.7947,58.0899,58.5915,1801135
20180201,58.2827,58.8507,57.9541,58.5603,3675709
20180202,55.8756,56.0679,55.0702,55.4682,5892122
20180205,54.5468,55.2595,52.3726,52.6526,4177469
20180206,51.2446,53.8909,51.0479,53.745,3831524
20180207,53.7717,53.849,52.2676,52.3067,2597094
20180208,52.5278,52.729,49.7935,49.9427,3339601
20180209,50.8432,52.1238,49.4119,51.8537,4917970
20180212,52.3692,52.8102,51.8151,52.2646,2812011
20180213,52.0386,52.5947,51.8859,52.2438,1579258
20180214,52.2527,53.3009,52.0287,53.1636,2065202
20180215,53.6964,54.2242,52.8925,54.0884,1869763
20180216,54.1885,54.9285,54.0978,54.2936,1997405
20180220,54.1578,55.324,54.021,54.6945,1687656
20180221,54.9676,56.3107,54.8888,55.1981,2074321
20180222,55.4667,55.7784,54.7719,55.0073,1400536
20180223,55.4414,55.9539,54.9348,55.9088,1264638
20180226,56.0956,56.7072,55.9707,56.6824,1545619
20180227,56.6824,56.7097,55.3487,55.3844,2148159
20180228,55.6069,55.887,54.6653,54.7109,2464619
20180301,54.9894,55.0753,52.8952,53.0997,2766856
20180302,52.4341,53.8669,52.044,53.7306,2508145
20180305,53.4327,54.5751,53.1423,54.2569,1432369
20180306,54.6208,54.7956,54.244,54.5612,1169068
20180307,54.1608,55.3195,54.0166,55.262,1537429
20180308,55.3691,56.0748,55.3691,55.9727,1693133
20180309,56.4743,57.5398,56.216,57.5319,2133087
20180312,57.7405,58.3903,57.4506,57.7841,2215304
20180313,58.0766,58.3823,56.2299,56.4946,2156999
20180314,56.7865,57.4784,56.6155,56.9396,2093482
20180315,56.9733,57.6142,56.2839,57.0249,1669094
20180316,57.2598,57.3322,56.0708,56.2225,2932759
20180319,55.3968,55.4766,53.9675,54.5201,3182796
20180320,54.4373,54.7917,53.6453,54.3085,2729857
