date,open,high,low,close,volume
20180102,176.2521,180.1208,176.1232,179.9621,18151903
20180103,180.4184,183.2951,179.8728,183.186,16886563
20180104,183.4141,184.7136,182.6201,182.8487,13880896
20180105,184.0986,185.398,183.4439,185.3484,13574535
20180108,185.6956,187.382,184.8326,186.7669,17994726
20180109,187.1836,187.2828,185.5964,186.3602,12393057
20180110,185.4377,186.3801,184.1382,186.3305,10529894
20180111,186.886,186.886,185.8742,186.261,9588587
20180112,176.6291,180.0216,175.9744,177.9285,77551299
20180116,180.0414,180.2894,176.6092,176.9564,36183842
20180117,177.8194,177.879,174.3872,176.1728,27992376
20180118,176.6985,179.5256,175.657,178.3551,23304901
20180119,179.3967,180.9044,178.7223,179.8331,26826540
20180122,179.3471,183.9002,178.9602,183.8803,21059464
20180123,184.5549,188.0267,184.0589,187.8283,25678781
20180124,188.364,189.1278,185.0211,185.0508,24334548
20180125,186.4396,187.1042,185.1004,185.9734,17377740
20180126,186.2412,188.4731,185.3088,188.4731,17759212
20180129,187.2332,187.3224,184.1383,184.4854,20453172
20180130,181.5393,186.6678,180.3787,185.6163,20858556
20180131,186.8562,188.3045,183.7315,185.3881,43275144
20180201,186.7074,193.7504,186.3801,191.5383,54211293
20180202,190.4967,192.6493,188.4533,188.7509,26677484
20180205,185.4278,189.0782,179.1586,179.8034,33128206
20180206,177.135,184.2771,176.3116,183.8208,37758505
20180207,182.6701,183.5943,178.5039,178.732,27601886
20180208,179.5554,180.3787,170.1034,170.2012,38478321
20180209,173.3556,175.4784,165.8365,174.6947,39887626
20180212,175.6371,176.1182,170.4591,174.9923,32092133
20180213,174.2087,174.5559,171.7089,171.7585,21809350
20180214,172.0561,178.365,171.8199,178.0773,28929704
20180215,179.0495,179.0495,175.4189,178.5138,20922120
20180216,177.5516,178.4345,174.8832,175.9347,21015610
20180220,174.3575,176.52,173.7028,174.5956,21204921
20180221,175.2899,179.8133,174.9824,176.4803,23200804
20180222,177.2639,178.7618,175.9843,177.5516,18464192
20180223,178.4543,181.9162,178.0674,181.817,19007288
20180226,183.0967,184.168,181.7504,183.4439,17599703
20180227,182.9677,183.2157,180.0018,180.0018,15849806
20180228,180.835,181.4103,176.7084,176.887,18783039
20180301,177.5714,178.6725,173.0084,174.5261,23201626
20180302,171.8974,175.6867,171.5998,175.2006,20025905
20180305,174.784,179.6918,174.4765,178.9503,16189280
20180306,180.3192,180.9144,177.6706,178.3353,15086784
20180307,177.3036,182.3428,176.639,182.2337,19097293
