date,open,high,low,close,volume
20180102,78.8603,79.0297,78.2881,78.7001,22483797
20180103,78.7962,79.2129,78.7184,79.0664,26061439
20180104,79.2861,80.2659,79.2678,79.7623,21911974
20180105,80.2659,80.9526,80.0553,80.7512,23407110
20180108,80.7603,81.1083,80.2151,80.8336,22113049
20180109,81.1724,81.243,80.449,80.7786,19484317
20180110,80.449,80.7512,80.0369,80.4124,18652201
20180111,80.6962,80.6962,79.8813,80.6504,17808877
20180112,81.1907,82.207,80.9892,82.0422,24271531
20180116,82.5,83.1318,80.5867,80.8977,36599736
20180117,81.5661,82.6649,81.2639,82.5367,25621164
20180118,82.2254,83.022,82.0972,82.5,24159683
20180119,82.5367,82.967,82.0972,82.4085,36875013
20180122,82.4085,83.8918,82.1704,83.8827,23601555
20180123,84.1482,84.5145,83.8186,84.1482,23412841
20180124,84.7434,85.5492,83.8552,84.075,33277483
20180125,84.6656,85.3752,84.1757,84.5419,26383238
20180126,85.2653,86.126,84.7709,86.126,29172167
20180129,87.1149,87.3988,85.8147,85.9978,31569940
20180130,85.4301,85.7598,84.3313,84.9174,38635053
20180131,85.8422,87.353,85.6224,86.9959,48756338
20180201,86.7944,87.9665,85.6877,86.3091,47227882
20180202,85.7414,86.0436,83.782,84.0383,47867753
20180205,82.9212,85.3752,80.5772,80.5772,51031465
20180206,79.5608,83.7591,78.0591,83.6263,67998564
20180207,82.8571,84.0292,81.676,82.0514,41107592
20180208,82.1429,82.294,77.6105,77.8394,55628657
20180209,79.0206,81.4287,76.7589,80.742,63499065
20180212,81.2502,82.207,80.5126,81.6119,35720341
20180213,81.4287,82.4085,80.3941,82.2528,26407702
20180214,81.4248,83.7063,81.3328,83.5407,34960912
20180215,83.9087,85.2978,83.3659,85.2426,27823866
20180216,85.0494,86.0154,84.4515,84.6355,30596919
20180220,84.1525,85.6106,83.7247,85.2978,30911725
20180221,85.537,85.8861,84.1663,84.1663,26922503
20180222,84.6814,85.307,84.0467,84.3871,24392753
20180223,85.3254,86.5397,84.9666,86.5305,26329226
20180226,86.8433,87.8093,86.7053,87.7817,30199846
20180227,88.0761,88.1681,86.6593,86.6593,25869119
20180228,87.2481,88.0439,86.135,86.2638,31167338
20180301,86.4662,86.9997,84.4883,85.4174,37135561
20180302,84.2491,85.6934,83.5867,85.6014,32830389
20180305,84.9482,86.7237,84.8746,86.1442,23901578
20180306,86.7881,86.9261,85.5011,85.8498,22175776
20180307,85.7026,86.4207,85.031,86.3466,26716127
20180308,86.7237,87.4873,86.2592,86.8709,25887828
20180309,87.6621,88.812,87.3953,88.812,36937254
20180312,88.7752,89.4284,88.3521,89.0236,26073742
20180313,89.2352,89.456,86.4478,86.8525,35387817
20180314,87.5057,87.7725,86.0154,86.3374,32131981
20180315,86.043,87.0089,85.399,86.6409,27610998
20180316,87.1009,87.7449,86.4018,87.0273,49081279
20180319,86.2362,86.3834,84.7366,85.4542,33344085
20180320,85.6014,86.2638,85.5554,85.675,23075240
20180321,85.491,86.5213,84.8286,85.077,24457082
20180322,83.9593,84.4055,82.4828,82.6024,38604715
20180323,82.3356,83.2187,80.1093,80.2013,44068949
20180326,83.3567,86.4754,83.1635,86.273,56396780
20180327,87.3401,87.5232,81.4248,82.308,56569011
20180328,82.63,83.9271,81.7588,82.2344,52501146
20180329,82.9611,84.9022,81.3236,83.9639,45867548
20180402,83.2279,83.6051,80.5049,81.434,48515417
20180403,82.4046,82.8415,80.8545,82.5288,37213837
20180404,80.8177,85.3346,80.7073,84.939,35559956
20180405,85.0356,85.6152,84.0835,84.985,29771881
20180406,84.1663,85.0586,82.3172,83.0071,38026000
20180409,83.7523,85.7118,83.3659,83.5039,31533943
20180410,84.9942,85.813,84.3043,85.445,26939883
20180411,84.6447,85.8222,84.1571,84.5067,24872110
20180412,85.031,86.6225,85.031,86.089,26758879
20180413,86.5213,86.6409,85.0402,85.629,23346063
20180416,86.5397,87.0825,85.9418,86.6317,20288083
20180417,87.3953,88.812,87.2849,88.3796,26771000
20180418,88.5176,88.9776,87.8737,88.72,21043287
20180419,88.72,89.2996,87.7081,88.4164,23552541
20180420,88.2325,88.4164,86.5213,87.3953,31154377
20180423,88.0794,88.582,87.0549,87.7173,22331829
20180424,88.5379,88.7476,85.0126,85.6658,34524799
20180425,85.8314,85.8314,83.0531,84.9206,33729257
