date,open,high,low,close,volume
20180102,4.8346,4.9265,4.803,4.9228,8890417
20180103,5.0401,5.2772,5.0315,5.2468,22867591
20180104,5.328,5.3846,5.2522,5.2745,14581720
20180105,5.2893,5.3564,5.2125,5.3191,14503103
20180108,5.4426,5.5562,5.3977,5.4821,22030422
20180109,5.4876,5.5271,5.3992,5.4806,12424995
20180110,5.3883,5.5271,5.334,5.5236,14566626
20180111,5.5562,5.5876,5.512,5.5335,10150767
20180112,5.5216,5.556,5.4658,5.5063,8997902
20180116,5.5328,5.6182,5.351,5.4355,17558687
20180117,5.45,5.5592,5.3562,5.5493,13460222
20180118,5.53,5.5967,5.4989,5.5424,10215841
20180119,5.6325,5.7066,5.6056,5.6824,15234486
20180122,5.6903,5.7725,5.6328,5.7708,13773561
20180123,5.8241,5.9224,5.8056,5.8997,11880705
20180124,5.9029,5.9388,5.7673,5.8229,14499309
20180125,5.8772,5.9205,5.8217,5.8365,10247091
20180126,5.8802,6.0091,5.8674,6.0089,12908854
20180129,5.9943,6.1269,5.9417,6.0958,11377853
20180130,5.954,6.0852,5.8874,5.9938,14270844
20180131,6.0691,6.1555,6.0365,6.0699,11964444
20180201,5.8901,6.097,5.8787,5.939,12980572
20180202,5.8525,5.8765,5.7086,5.7666,17961555
20180205,5.6056,5.7594,5.0623,5.2772,29130140
20180206,5.0475,5.5735,5.0376,5.5705,27870031
20180207,5.6693,5.8024,5.5982,5.6501,20073316
20180208,5.7755,5.8086,5.3713,5.3715,28599976
20180209,5.8834,5.8992,5.3715,5.731,41865077
20180212,5.8119,5.815,5.557,5.631,27329342
20180213,5.5947,5.7908,5.5624,5.7446,15638119
20180214,5.7044,5.9906,5.6933,5.9617,18624749
20180215,6.0448,6.1333,5.9642,6.0871,17472515
20180216,6.06,6.1736,6.0123,6.0215,15941426
20180220,6.0439,6.2197,6.0402,6.1509,17155962
20180221,6.2153,6.2222,5.9602,5.9639,22307344
20180222,5.9978,6.0694,5.918,5.9834,13359133
20180223,6.0432,6.0768,5.9926,6.0768,10382510
20180226,6.123,6.1275,6.0306,6.0929,11732844
20180227,6.0662,6.1505,6.0571,6.08,11385899
20180228,6.0909,6.1305,5.9681,5.9797,13077878
20180301,5.9775,6.0314,5.6369,5.7378,26002972
20180302,5.6303,5.8512,5.4818,5.8448,22835685
20180305,5.7947,5.8624,5.6714,5.8228,15519413
20180306,5.9081,6.003,5.8651,5.9837,15920243
20180307,5.8809,6.0279,5.8797,5.9758,14530226
20180308,6.0032,6.0032,5.9153,5.9595,10297761
20180309,6.0069,6.0749,5.9909,6.062,12638148
